id;label;type
Padre Agostino;Padre Agostino;Person
Alba de Cespedes;Alba de Cespedes;Person-CulturalCh
Andria;Andria;Person-PrimaryCh
Antonio;Antonio;Person-LoveInterest
Antonia Pozzi;Antonia Pozzi;Person
Assunta Veleno;Assunta Veleno;Person-PrimaryCh
Atticus Finch;Atticus Finch;Person-CulturalCh
Banana Yoshimoto;Banana Yoshimoto;Person-CulturalCh
Biagia Marniti;Biagia Marniti;Person-CulturalCh
Calvino;Calvino;Person-CulturalCh
Clara;Clara;Person-LoveInterest
Claudia;Claudia;Person-PrimaryCh
Cristiano;Cristiano;Person-LoveInterest
Cristo;Cristo;Person
Daniela;Daniela;Person-LoveInterest
Dario Bellezza;Dario Bellezza;Person-CulturalCh
Dente;Dente;Person
Dino Campana;Dino Campana;Person-CulturalCh
Domenico;Domenico;Person-PrimaryCh
Domenico Carella;Domenico Carella;Person-CulturalCh
Don Bastone;Don Bastone;Person
Elfo;Elfo;Person-PrimaryCh
Elisa Fortuna;Elisa Fortuna;Person-PrimaryCh
Elsa Morante;Elsa Morante;Person-CulturalCh
Enrico Fanelli;Enrico Fanelli;Person-PrimaryCh
Erika;Erika;Person-PrimaryCh
Etta Bianchi;Etta Bianchi;Person-PrimaryCh
Eugenio Baroni;Eugenio Baroni;Person-LoveInterest
Fabrizio;Fabrizio;Person-LoveInterest
Fitzwilliam Darcy;Fitzwilliam Darcy;Person-CulturalCh
Flavia;Flavia;Person-LoveInterest
io/Francesco Veleno;io/Francesco Veleno;Person-PrimaryCh
Franco Battiato;Franco Battiato;Person
Franco Cassano;Franco Cassano;Person
Franz Kafka;Franz Kafka;Person-CulturalCh
Giada;Giada;Person-SchoolCh
Giulia;Giulia;Person-PrimaryCh
Giuseppe;Giuseppe;Person-LoveInterest
Giuseppe (scuola);Giuseppe (scuola);Person-SchoolCh
Giuseppe Veleno;Giuseppe Veleno;Person-PrimaryCh
Holden Caufield;Holden Caufield;Person-CulturalCh
Ilaria;Ilaria;Person-SchoolCh
Jay Gatsby;Jay Gatsby;Person-CulturalCh
Kevin Trasloco;Kevin Trasloco;Person
Lisa Morpurgo;Lisa Morpurgo;Person-CulturalCh
Loredana;Loredana;Person-LoveInterest
Luigi;Luigi;Person-SchoolCh
Marco Curcio;Marco Curcio;Person-PrimaryCh
Maria Corti;Maria Corti;Person-CulturalCh
Maria Marcone;Maria Marcone;Person-CulturalCh
Mariangela;Mariangela;Person-LoveInterest
Marianna;Marianna;Person-LoveInterest
Mariateresa Di Lascia;Mariateresa Di Lascia;Person-CulturalCh
Mariella;Mariella;Person
Mario ;Mario ;Person-LoveInterest
Mario Luzi;Mario Luzi;Person-CulturalCh
Matteo;Matteo;Person-PrimaryCh
Michele Duranti;Michele Duranti;Person-PrimaryCh
Mirella;Mirella;Person-LoveInterest
Madonna del Carmine;;
Naomi Klein;Naomi Klein;Person-CulturalCh
Natalia Ginzburg;Natalia Ginzburg;Person-CulturalCh
Osamu Tezuka;Osamu Tezuka;Person-CulturalCh
Pier Vittorio Tondelli;Pier Vittorio Tondelli;Person-CulturalCh
Pippi Calzelunghe;Pippi Calzelunghe;Person-CulturalCh
Raffaele Carrieri;Raffaele Carrieri;Person-CulturalCh
Rina Durante;Rina Durante;Person-CulturalCh
Romina;Romina;Person-SchoolCh
Rumiiko Takahashi;Rumiiko Takahashi;Person-CulturalCh
San Biagio;San Biagio;Person-CulturalCh
San Domenico;San Domenico;Person-CulturalCh
Sant'Antonio;Sant'Antonio;Person-CulturalCh
Salvador Dali;Salvador Dali;Person-CulturalCh
Salvatore;Salvatore;Person-SchoolCh
Sconosciuto Italiano;Sconosciuto Italiano;Person-LoveInterest
Shorsh;Shorsh;Person
Sibilla Alteramo;Sibilla Alteramo;Person-CulturalCh
Tatarella;Tatarella;Person
Tonia;Tonia;Person-PrimaryCh
Trinita;Trinita;Person
Valentina;Valentina;Person-SchoolCh
Vincenzo Veleno;Vincenzo Veleno;Person-PrimaryCh
Vittorio Bodini;Vittorio Bodini;Person-CulturalCh
