id;label;type
Ava;Ava;Place-Germany
Bari;Bari;Place-Apulia
Berlino;Berlino;Place-Germany
Berghain;Berghain;Place-Germany
Brindisi;Brindisi;Place-Apulia
Candela;Candela;Place-Apulia
Cisternino;Cisternino;Place-Apulia
Fiera del Levante;Fiera del Levante;Place-Apulia
Friedrichshain;Friedrichshain;Place-Germany
Gargano;Gargano;Place-Apulia
Georgia;Georgia;Place
Germania;Germania;Place
Giardini della Guastella;Giardini della Guastella;Place
Gioia del Colle;Gioia del Colle;Place-Apulia
Gleimstrasse;Gleimstrasse;Place-Germany
Italia;Italia;Place
Karl-Marx Strasse;Karl-Marx Strasse;Place-Germany
Kitty;Kitty;Place-Germany
Kreuzberg;Kreuzberg;Place-Germany
Lecce;Lecce;Place-Apulia
Locorotondo;Locorotondo;Place-Apulia
Londra;Londra;Place
Lux;Lux;Place-Germany
Manica;Manica;Place
Mariendorf;Mariendorf;Place-Germany
Martina Franca;Martina Franca;Place-Apulia
Massafra;Massafra;Place-Apulia
Milano;Milano;Place
Nollendorfplatz;Nollendorfplatz;Place-Germany
Nord ;Nord ;Place
Northwood;Northwood;Place
Ostbahnhof;Ostbahnhof;Place-Germany
Ostkreuz;Ostkreuz;Place-Germany
Ostuni;Ostuni;Place-Apulia
Palazzo Ducale;Palazzo Ducale;Place
Parigi;Parigi;Place
Piazza Cavour;Piazza Cavour;Place-Apulia
Piazza Umberto;Piazza Umberto;Place-Apulia
Plattenbau;Plattenbau;Place-Germany
Porta Romana;Porta Romana;Place
Porta Ticinese;Porta Ticinese;Place
Puglia;Puglia;Place-Apulia
Rummelsburg;Rummelsburg;Place-Germany
Sacramento;Sacramento;Place
Salento;Salento;Place-Apulia
Sud;Sud;Place
Taranto;Taranto;Place
Tbilisi;Tbilisi;Place
Tempelhof;Tempelhof;Place-Germany
Tito Livio;Tito Livio;Place-Apulia
Torre Canne;Torre Canne;Place-Apulia
Torre Velasca;Torre Velasca;Place
Valle d'Itria;Valle d'Itria;Place-Apulia
Via Cavour;Via Cavour;Place-Apulia
Via Sparano;Via Sparano;Place-Apulia
Vietnam;Vietnam;Place
Weissensee;Weissensee;Place-Germany
Warschauer;Warschauer;Place-Germany
